batch,dataset,setting,date,status
4,Moyle_2016,real,Sat Jul  4 03:35:07 NZST 2020,start
1,Moyle_2016,real,Sat Jul  4 03:46:43 NZST 2020,start
3,Moyle_2016,real,Sat Jul  4 04:37:34 NZST 2020,finish
3,Moyle_2016,cat,Sat Jul  4 04:37:34 NZST 2020,start
3,Moyle_2016,cat,Sat Jul  4 08:45:11 NZST 2020,finish
4,Moyle_2016,real,Sat Jul  4 09:00:55 NZST 2020,finish
1,Moyle_2016,real,Sat Jul  4 09:04:58 NZST 2020,finish
5,Moyle_2016,real,Sat Jul  4 11:37:05 NZST 2020,start
3,Moyle_2016,real_06,Sat Jul  4 14:10:39 NZST 2020,start
3,Moyle_2016,real_06,Sat Jul  4 16:33:26 NZST 2020,finish
5,Moyle_2016,real,Sat Jul  4 16:55:50 NZST 2020,finish
5,Moyle_2016,real_06,Sat Jul  4 16:55:50 NZST 2020,start
5,Moyle_2016,real_06,Sat Jul  4 19:18:41 NZST 2020,finish
1,Moyle_2016,cat,Sat Jul  4 22:43:40 NZST 2020,start
1,Moyle_2016,cat,Sun Jul  5 02:52:14 NZST 2020,finish
1,Moyle_2016,real_06,Sun Jul  5 02:52:14 NZST 2020,start
2,Moyle_2016,real,Sun Jul  5 03:46:27 NZST 2020,start
1,Moyle_2016,real_06,Sun Jul  5 05:14:42 NZST 2020,finish
2,Moyle_2016,real,Sun Jul  5 09:05:18 NZST 2020,finish
2,Moyle_2016,cat,Sun Jul  5 09:05:18 NZST 2020,start
5,Moyle_2016,cat,Sun Jul  5 09:10:25 NZST 2020,start
4,Moyle_2016,real_06,Sun Jul  5 11:00:19 NZST 2020,start
2,Moyle_2016,cat,Sun Jul  5 13:12:11 NZST 2020,finish
5,Moyle_2016,cat,Sun Jul  5 13:17:42 NZST 2020,finish
4,Moyle_2016,real_06,Sun Jul  5 13:21:07 NZST 2020,finish
3,Dornburg_2012,real_06,Sat Jul 11 14:50:48 NZST 2020,start
5,Dornburg_2012,real,Sat Jul 11 16:27:36 NZST 2020,start
3,Dornburg_2012,real_06,Sat Jul 11 17:22:18 NZST 2020,finish
3,Dornburg_2012,real,Sat Jul 11 17:22:18 NZST 2020,start
5,Dornburg_2012,real,Sat Jul 11 19:58:23 NZST 2020,finish
1,Dornburg_2012,cat,Sat Jul 11 19:59:05 NZST 2020,start
3,Dornburg_2012,real,Sat Jul 11 20:54:57 NZST 2020,finish
4,Dornburg_2012,real,Sat Jul 11 20:55:38 NZST 2020,start
1,Dornburg_2012,cat,Sat Jul 11 23:11:31 NZST 2020,finish
4,Dornburg_2012,real,Sun Jul 12 00:26:19 NZST 2020,finish
5,Dornburg_2012,cat,Sun Jul 12 03:18:24 NZST 2020,start
4,Dornburg_2012,cat,Sun Jul 12 04:09:39 NZST 2020,start
2,Dornburg_2012,cat,Sun Jul 12 05:00:27 NZST 2020,start
5,Dornburg_2012,cat,Sun Jul 12 06:30:57 NZST 2020,finish
5,Dornburg_2012,real_06,Sun Jul 12 06:30:57 NZST 2020,start
4,Dornburg_2012,cat,Sun Jul 12 07:23:34 NZST 2020,finish
2,Dornburg_2012,cat,Sun Jul 12 08:12:53 NZST 2020,finish
5,Dornburg_2012,real_06,Sun Jul 12 09:01:49 NZST 2020,finish
4,Dornburg_2012,real_06,Sun Jul 12 11:29:42 NZST 2020,start
4,Dornburg_2012,real_06,Sun Jul 12 14:01:00 NZST 2020,finish
1,Dornburg_2012,real_06,Sun Jul 12 14:21:26 NZST 2020,start
2,Dornburg_2012,real,Sun Jul 12 15:34:22 NZST 2020,start
3,Dornburg_2012,cat,Sun Jul 12 16:03:25 NZST 2020,start
1,Dornburg_2012,real_06,Sun Jul 12 16:51:17 NZST 2020,finish
1,Dornburg_2012,real,Sun Jul 12 16:51:17 NZST 2020,start
2,Dornburg_2012,real,Sun Jul 12 19:05:35 NZST 2020,finish
2,Dornburg_2012,real_06,Sun Jul 12 19:05:35 NZST 2020,start
3,Dornburg_2012,cat,Sun Jul 12 19:15:34 NZST 2020,finish
1,Dornburg_2012,real,Sun Jul 12 20:23:37 NZST 2020,finish
2,Dornburg_2012,real_06,Sun Jul 12 21:37:39 NZST 2020,finish
2,Broughton_2013,real,Mon Jul 13 15:08:45 NZST 2020,start
5,Broughton_2013,real_06,Mon Jul 13 15:09:02 NZST 2020,start
4,Broughton_2013,cat,Mon Jul 13 15:09:04 NZST 2020,start
5,Broughton_2013,real_06,Mon Jul 13 21:15:59 NZST 2020,finish
4,Broughton_2013,cat,Mon Jul 13 23:04:43 NZST 2020,finish
4,Broughton_2013,real_06,Mon Jul 13 23:04:43 NZST 2020,start
2,Broughton_2013,real,Mon Jul 13 23:33:30 NZST 2020,finish
1,Broughton_2013,real_06,Tue Jul 14 00:12:02 NZST 2020,start
3,Broughton_2013,real,Tue Jul 14 00:13:58 NZST 2020,start
4,Broughton_2013,real_06,Tue Jul 14 05:06:52 NZST 2020,finish
5,Broughton_2013,real,Tue Jul 14 05:45:53 NZST 2020,start
1,Broughton_2013,real_06,Tue Jul 14 06:21:08 NZST 2020,finish
1,Broughton_2013,cat,Tue Jul 14 06:21:08 NZST 2020,start
2,Broughton_2013,real_06,Tue Jul 14 08:02:19 NZST 2020,start
3,Broughton_2013,real,Tue Jul 14 08:37:31 NZST 2020,finish
3,Broughton_2013,real_06,Tue Jul 14 08:37:31 NZST 2020,start
2,Broughton_2013,real_06,Tue Jul 14 14:05:13 NZST 2020,finish
2,Broughton_2013,cat,Tue Jul 14 14:05:13 NZST 2020,start
5,Broughton_2013,real,Tue Jul 14 14:08:02 NZST 2020,finish
1,Broughton_2013,cat,Tue Jul 14 14:11:58 NZST 2020,finish
1,Broughton_2013,real,Tue Jul 14 14:11:58 NZST 2020,start
3,Broughton_2013,real_06,Tue Jul 14 14:42:02 NZST 2020,finish
3,Broughton_2013,cat,Tue Jul 14 14:42:02 NZST 2020,start
2,Broughton_2013,cat,Tue Jul 14 22:05:08 NZST 2020,finish
1,Broughton_2013,real,Tue Jul 14 22:38:54 NZST 2020,finish
3,Broughton_2013,cat,Tue Jul 14 22:40:54 NZST 2020,finish
4,Broughton_2013,real,Tue Jul 14 22:42:38 NZST 2020,start
5,Broughton_2013,cat,Tue Jul 14 23:08:28 NZST 2020,start
5,Broughton_2013,cat,Wed Jul 15 07:06:45 NZST 2020,finish
5,Ran_2018_dna,cat,Wed Jul 15 07:06:45 NZST 2020,start
5,Ran_2018_dna,cat,Wed Jul 15 07:06:45 NZST 2020,finish
5,Ran_2018_dna,real,Wed Jul 15 07:06:46 NZST 2020,start
5,Ran_2018_dna,real,Wed Jul 15 07:06:46 NZST 2020,finish
5,Ran_2018_dna,real_06,Wed Jul 15 07:06:46 NZST 2020,start
5,Ran_2018_dna,real_06,Wed Jul 15 07:06:46 NZST 2020,finish
4,Broughton_2013,real,Wed Jul 15 07:07:34 NZST 2020,finish
4,Ran_2018_dna,real,Wed Jul 15 07:07:34 NZST 2020,start
4,Ran_2018_dna,real,Wed Jul 15 07:07:34 NZST 2020,finish
4,Ran_2018_dna,real_06,Wed Jul 15 07:07:34 NZST 2020,start
4,Ran_2018_dna,real_06,Wed Jul 15 07:07:34 NZST 2020,finish
4,Ran_2018_dna,cat,Wed Jul 15 07:07:34 NZST 2020,start
4,Ran_2018_dna,cat,Wed Jul 15 07:07:35 NZST 2020,finish
2,Ran_2018_dna,real,Wed Jul 15 07:08:13 NZST 2020,start
2,Ran_2018_dna,real,Wed Jul 15 07:08:14 NZST 2020,finish
2,Ran_2018_dna,cat,Wed Jul 15 07:08:14 NZST 2020,start
2,Ran_2018_dna,cat,Wed Jul 15 07:08:14 NZST 2020,finish
2,Ran_2018_dna,real_06,Wed Jul 15 07:08:14 NZST 2020,start
2,Ran_2018_dna,real_06,Wed Jul 15 07:08:15 NZST 2020,finish
3,Ran_2018_dna,real_06,Wed Jul 15 07:12:31 NZST 2020,start
3,Ran_2018_dna,real_06,Wed Jul 15 07:12:31 NZST 2020,finish
3,Ran_2018_dna,cat,Wed Jul 15 07:12:31 NZST 2020,start
3,Ran_2018_dna,cat,Wed Jul 15 07:12:32 NZST 2020,finish
3,Ran_2018_dna,real,Wed Jul 15 07:12:32 NZST 2020,start
3,Ran_2018_dna,real,Wed Jul 15 07:12:32 NZST 2020,finish
1,Ran_2018_dna,cat,Wed Jul 15 07:13:46 NZST 2020,start
1,Ran_2018_dna,cat,Wed Jul 15 07:13:46 NZST 2020,finish
1,Ran_2018_dna,real_06,Wed Jul 15 07:13:46 NZST 2020,start
1,Ran_2018_dna,real_06,Wed Jul 15 07:13:47 NZST 2020,finish
1,Ran_2018_dna,real,Wed Jul 15 07:13:47 NZST 2020,start
1,Ran_2018_dna,real,Wed Jul 15 07:13:47 NZST 2020,finish
5,Rightmyer_2013,real_06,Sat Jul 18 07:00:39 NZST 2020,start
2,Rightmyer_2013,cat,Sat Jul 18 07:02:26 NZST 2020,start
1,Rightmyer_2013,cat,Sat Jul 18 07:05:24 NZST 2020,start
4,Rightmyer_2013,real,Sat Jul 18 07:19:25 NZST 2020,start
3,Rightmyer_2013,real,Sat Jul 18 07:31:33 NZST 2020,start
5,Rightmyer_2013,real_06,Sat Jul 18 11:28:12 NZST 2020,finish
5,Rightmyer_2013,real,Sat Jul 18 11:28:12 NZST 2020,start
2,Rightmyer_2013,cat,Sat Jul 18 13:45:18 NZST 2020,finish
1,Rightmyer_2013,cat,Sat Jul 18 13:52:55 NZST 2020,finish
4,Rightmyer_2013,real,Sat Jul 18 15:10:05 NZST 2020,finish
3,Rightmyer_2013,real,Sat Jul 18 15:21:37 NZST 2020,finish
5,Rightmyer_2013,real,Sat Jul 18 19:16:51 NZST 2020,finish
2,Rightmyer_2013,real,Sat Jul 18 21:13:08 NZST 2020,start
1,Rightmyer_2013,real,Sat Jul 18 21:14:23 NZST 2020,start
3,Rightmyer_2013,real_06,Sat Jul 18 22:43:23 NZST 2020,start
3,Rightmyer_2013,real_06,Sun Jul 19 03:13:25 NZST 2020,finish
2,Rightmyer_2013,real,Sun Jul 19 05:02:21 NZST 2020,finish
2,Rightmyer_2013,real_06,Sun Jul 19 05:02:21 NZST 2020,start
1,Rightmyer_2013,real,Sun Jul 19 05:03:51 NZST 2020,finish
4,Rightmyer_2013,real_06,Sun Jul 19 06:26:54 NZST 2020,start
2,Rightmyer_2013,real_06,Sun Jul 19 09:35:00 NZST 2020,finish
5,Rightmyer_2013,cat,Sun Jul 19 10:31:25 NZST 2020,start
4,Rightmyer_2013,real_06,Sun Jul 19 10:55:32 NZST 2020,finish
4,Rightmyer_2013,cat,Sun Jul 19 10:55:32 NZST 2020,start
3,Rightmyer_2013,cat,Sun Jul 19 11:10:03 NZST 2020,start
1,Rightmyer_2013,real_06,Sun Jul 19 12:56:43 NZST 2020,start
5,Rightmyer_2013,cat,Sun Jul 19 17:19:29 NZST 2020,finish
5,Kawahara_2013,real_06,Sun Jul 19 17:19:29 NZST 2020,start
1,Rightmyer_2013,real_06,Sun Jul 19 17:26:22 NZST 2020,finish
1,Kawahara_2013,real_06,Sun Jul 19 17:26:22 NZST 2020,start
2,Kawahara_2013,real_06,Sun Jul 19 17:29:43 NZST 2020,start
4,Rightmyer_2013,cat,Sun Jul 19 17:38:45 NZST 2020,finish
4,Kawahara_2013,real_06,Sun Jul 19 17:38:45 NZST 2020,start
3,Rightmyer_2013,cat,Sun Jul 19 17:52:01 NZST 2020,finish
3,Kawahara_2013,real_06,Sun Jul 19 17:52:01 NZST 2020,start
5,Kawahara_2013,real_06,Sun Jul 19 18:51:00 NZST 2020,finish
1,Kawahara_2013,real_06,Sun Jul 19 18:57:48 NZST 2020,finish
2,Kawahara_2013,real_06,Sun Jul 19 19:01:22 NZST 2020,finish
2,Kawahara_2013,cat,Sun Jul 19 19:01:22 NZST 2020,start
4,Kawahara_2013,real_06,Sun Jul 19 19:10:49 NZST 2020,finish
4,Kawahara_2013,cat,Sun Jul 19 19:10:49 NZST 2020,start
3,Kawahara_2013,real_06,Sun Jul 19 19:22:55 NZST 2020,finish
3,Kawahara_2013,cat,Sun Jul 19 19:22:55 NZST 2020,start
2,Kawahara_2013,cat,Sun Jul 19 21:17:50 NZST 2020,finish
2,Kawahara_2013,real,Sun Jul 19 21:17:50 NZST 2020,start
1,Kawahara_2013,cat,Sun Jul 19 21:26:04 NZST 2020,start
4,Kawahara_2013,cat,Sun Jul 19 21:28:35 NZST 2020,finish
4,Kawahara_2013,real,Sun Jul 19 21:28:35 NZST 2020,start
3,Kawahara_2013,cat,Sun Jul 19 21:39:34 NZST 2020,finish
1,Kawahara_2013,cat,Sun Jul 19 23:41:56 NZST 2020,finish
2,Kawahara_2013,real,Mon Jul 20 00:00:36 NZST 2020,finish
5,Kawahara_2013,cat,Mon Jul 20 00:01:05 NZST 2020,start
3,Kawahara_2013,real,Mon Jul 20 00:07:31 NZST 2020,start
4,Kawahara_2013,real,Mon Jul 20 00:11:35 NZST 2020,finish
5,Kawahara_2013,cat,Mon Jul 20 02:17:25 NZST 2020,finish
5,Kawahara_2013,real,Mon Jul 20 02:17:25 NZST 2020,start
1,Kawahara_2013,real,Mon Jul 20 02:24:18 NZST 2020,start
3,Kawahara_2013,real,Mon Jul 20 02:49:38 NZST 2020,finish
5,Kawahara_2013,real,Mon Jul 20 05:00:18 NZST 2020,finish
1,Kawahara_2013,real,Mon Jul 20 05:06:42 NZST 2020,finish
2,Cognato_2001,cat,Mon Jul 20 05:10:48 NZST 2020,start
2,Cognato_2001,cat,Mon Jul 20 06:48:20 NZST 2020,finish
2,Cognato_2001,real_06,Mon Jul 20 06:48:20 NZST 2020,start
5,Cognato_2001,real,Mon Jul 20 07:01:09 NZST 2020,start
3,Cognato_2001,real_06,Mon Jul 20 07:24:28 NZST 2020,start
2,Cognato_2001,real_06,Mon Jul 20 07:59:37 NZST 2020,finish
2,Cognato_2001,real,Mon Jul 20 07:59:37 NZST 2020,start
3,Cognato_2001,real_06,Mon Jul 20 08:35:45 NZST 2020,finish
5,Cognato_2001,real,Mon Jul 20 08:54:26 NZST 2020,finish
1,Cognato_2001,real,Mon Jul 20 09:00:47 NZST 2020,start
4,Cognato_2001,real,Mon Jul 20 09:15:24 NZST 2020,start
2,Cognato_2001,real,Mon Jul 20 09:53:19 NZST 2020,finish
3,Cognato_2001,real,Mon Jul 20 10:36:34 NZST 2020,start
5,Cognato_2001,cat,Mon Jul 20 10:47:43 NZST 2020,start
1,Cognato_2001,real,Mon Jul 20 10:54:19 NZST 2020,finish
1,Cognato_2001,cat,Mon Jul 20 10:54:19 NZST 2020,start
4,Cognato_2001,real,Mon Jul 20 11:08:41 NZST 2020,finish
4,Cognato_2001,real_06,Mon Jul 20 11:08:41 NZST 2020,start
4,Cognato_2001,real_06,Mon Jul 20 12:21:41 NZST 2020,finish
4,Cognato_2001,cat,Mon Jul 20 12:21:41 NZST 2020,start
5,Cognato_2001,cat,Mon Jul 20 12:25:41 NZST 2020,finish
5,Cognato_2001,real_06,Mon Jul 20 12:25:41 NZST 2020,start
3,Cognato_2001,real,Mon Jul 20 12:31:40 NZST 2020,finish
3,Cognato_2001,cat,Mon Jul 20 12:31:40 NZST 2020,start
1,Cognato_2001,cat,Mon Jul 20 12:33:01 NZST 2020,finish
1,Cognato_2001,real_06,Mon Jul 20 12:33:01 NZST 2020,start
5,Cognato_2001,real_06,Mon Jul 20 13:36:56 NZST 2020,finish
1,Cognato_2001,real_06,Mon Jul 20 13:44:02 NZST 2020,finish
4,Cognato_2001,cat,Mon Jul 20 13:55:18 NZST 2020,finish
3,Cognato_2001,cat,Mon Jul 20 14:03:28 NZST 2020,finish
5,Sauquet_2011,real_adaptive,Fri Jul 24 18:33:15 NZST 2020,finish
2,Sauquet_2011,real_adaptive,Fri Jul 24 20:30:18 NZST 2020,start
1,Sauquet_2011,real_adaptive,Fri Jul 24 20:39:17 NZST 2020,start
2,Sauquet_2011,real_adaptive,Fri Jul 24 23:08:54 NZST 2020,finish
1,Sauquet_2011,real_adaptive,Fri Jul 24 23:17:19 NZST 2020,finish
3,Sauquet_2011,real_adaptive,Sat Jul 25 01:07:04 NZST 2020,start
4,Sauquet_2011,real_adaptive,Sat Jul 25 01:12:33 NZST 2020,start
3,Sauquet_2011,real_adaptive,Sat Jul 25 03:45:55 NZST 2020,finish
3,Moyle_2016,real_adaptive,Sat Jul 25 03:45:55 NZST 2020,start
4,Sauquet_2011,real_adaptive,Sat Jul 25 03:50:17 NZST 2020,finish
1,Moyle_2016,real_adaptive,Sat Jul 25 03:55:19 NZST 2020,start
3,Moyle_2016,real_adaptive,Sat Jul 25 06:24:07 NZST 2020,finish
1,Moyle_2016,real_adaptive,Sat Jul 25 06:32:47 NZST 2020,finish
2,Moyle_2016,real_adaptive,Sat Jul 25 11:18:35 NZST 2020,start
5,Moyle_2016,real_adaptive,Sat Jul 25 11:23:07 NZST 2020,start
2,Moyle_2016,real_adaptive,Sat Jul 25 13:57:04 NZST 2020,finish
5,Moyle_2016,real_adaptive,Sat Jul 25 14:00:31 NZST 2020,finish
4,Moyle_2016,real_adaptive,Sat Jul 25 18:52:08 NZST 2020,start
4,Moyle_2016,real_adaptive,Sat Jul 25 21:31:33 NZST 2020,finish
3,Dornburg_2012,real_adaptive,Sun Jul 26 13:23:19 NZST 2020,start
1,Dornburg_2012,real_adaptive,Sun Jul 26 13:28:58 NZST 2020,start
3,Dornburg_2012,real_adaptive,Sun Jul 26 15:59:52 NZST 2020,finish
1,Dornburg_2012,real_adaptive,Sun Jul 26 16:04:47 NZST 2020,finish
5,Dornburg_2012,real_adaptive,Sun Jul 26 17:26:15 NZST 2020,start
5,Dornburg_2012,real_adaptive,Sun Jul 26 20:02:07 NZST 2020,finish
2,Dornburg_2012,real_adaptive,Sun Jul 26 22:06:06 NZST 2020,start
4,Dornburg_2012,real_adaptive,Sun Jul 26 22:40:02 NZST 2020,start
2,Dornburg_2012,real_adaptive,Mon Jul 27 00:42:56 NZST 2020,finish
2,Broughton_2013,real_adaptive,Mon Jul 27 00:42:56 NZST 2020,start
4,Dornburg_2012,real_adaptive,Mon Jul 27 01:16:54 NZST 2020,finish
2,Broughton_2013,real_adaptive,Mon Jul 27 06:48:13 NZST 2020,finish
5,Broughton_2013,real_adaptive,Mon Jul 27 10:40:23 NZST 2020,start
4,Broughton_2013,real_adaptive,Mon Jul 27 11:30:56 NZST 2020,start
5,Broughton_2013,real_adaptive,Mon Jul 27 16:47:04 NZST 2020,finish
4,Broughton_2013,real_adaptive,Mon Jul 27 17:34:59 NZST 2020,finish
3,Broughton_2013,real_adaptive,Mon Jul 27 21:12:47 NZST 2020,start
1,Broughton_2013,real_adaptive,Mon Jul 27 21:17:13 NZST 2020,start
3,Broughton_2013,real_adaptive,Tue Jul 28 03:21:55 NZST 2020,finish
1,Broughton_2013,real_adaptive,Tue Jul 28 03:22:45 NZST 2020,finish
2,Rightmyer_2013,quant_06_cached,Tue Jul 28 16:14:10 NZST 2020,start
3,Rightmyer_2013,real_adaptive,Tue Jul 28 16:14:13 NZST 2020,start
5,Rightmyer_2013,quant_cached,Tue Jul 28 16:14:16 NZST 2020,start
3,Rightmyer_2013,real_adaptive,Tue Jul 28 20:54:08 NZST 2020,finish
2,Rightmyer_2013,quant_06_cached,Wed Jul 29 01:40:05 NZST 2020,finish
2,Rightmyer_2013,quant_cached,Wed Jul 29 01:40:05 NZST 2020,start
5,Rightmyer_2013,quant_cached,Wed Jul 29 01:57:02 NZST 2020,finish
1,Rightmyer_2013,quant_cached,Wed Jul 29 02:21:41 NZST 2020,start
4,Rightmyer_2013,real_adaptive,Wed Jul 29 02:26:23 NZST 2020,start
3,Rightmyer_2013,quant_cached,Wed Jul 29 06:53:33 NZST 2020,start
4,Rightmyer_2013,real_adaptive,Wed Jul 29 07:06:47 NZST 2020,finish
4,Rightmyer_2013,quant_06_cached,Wed Jul 29 07:06:47 NZST 2020,start
2,Rightmyer_2013,quant_cached,Wed Jul 29 11:22:33 NZST 2020,finish
5,Rightmyer_2013,quant_06_cached,Wed Jul 29 12:05:55 NZST 2020,start
1,Rightmyer_2013,quant_cached,Wed Jul 29 12:06:59 NZST 2020,finish
1,Rightmyer_2013,real_adaptive,Wed Jul 29 12:06:59 NZST 2020,start
4,Rightmyer_2013,quant_06_cached,Wed Jul 29 16:35:56 NZST 2020,finish
4,Rightmyer_2013,quant_cached,Wed Jul 29 16:35:56 NZST 2020,start
3,Rightmyer_2013,quant_cached,Wed Jul 29 16:37:02 NZST 2020,finish
3,Rightmyer_2013,quant_06_cached,Wed Jul 29 16:37:02 NZST 2020,start
1,Rightmyer_2013,real_adaptive,Wed Jul 29 16:48:28 NZST 2020,finish
1,Rightmyer_2013,quant_06_cached,Wed Jul 29 16:48:28 NZST 2020,start
2,Rightmyer_2013,real_adaptive,Wed Jul 29 21:26:56 NZST 2020,start
5,Rightmyer_2013,quant_06_cached,Wed Jul 29 21:31:14 NZST 2020,finish
5,Rightmyer_2013,real_adaptive,Wed Jul 29 21:31:14 NZST 2020,start
3,Rightmyer_2013,quant_06_cached,Thu Jul 30 02:02:04 NZST 2020,finish
3,Ran_2018_dna,real_adaptive,Thu Jul 30 02:02:04 NZST 2020,start
2,Rightmyer_2013,real_adaptive,Thu Jul 30 02:09:33 NZST 2020,finish
2,Ran_2018_dna,real,Thu Jul 30 02:09:33 NZST 2020,start
5,Rightmyer_2013,real_adaptive,Thu Jul 30 02:13:42 NZST 2020,finish
5,Ran_2018_dna,quant_06_cached,Thu Jul 30 02:13:42 NZST 2020,start
4,Rightmyer_2013,quant_cached,Thu Jul 30 02:14:14 NZST 2020,finish
4,Ran_2018_dna,cat,Thu Jul 30 02:14:14 NZST 2020,start
1,Rightmyer_2013,quant_06_cached,Thu Jul 30 02:15:05 NZST 2020,finish
1,Ran_2018_dna,real,Thu Jul 30 02:15:05 NZST 2020,start
3,Ran_2018_dna,real_adaptive,Thu Jul 30 15:25:02 NZST 2020,finish
3,Ran_2018_dna,real,Thu Jul 30 15:25:02 NZST 2020,start
4,Ran_2018_dna,cat,Thu Jul 30 18:13:10 NZST 2020,finish
4,Ran_2018_dna,quant_cached,Thu Jul 30 18:13:10 NZST 2020,start
1,Ran_2018_dna,real,Thu Jul 30 18:34:34 NZST 2020,finish
1,Ran_2018_dna,real_06,Thu Jul 30 18:34:34 NZST 2020,start
2,Ran_2018_dna,real,Thu Jul 30 18:35:13 NZST 2020,finish
2,Ran_2018_dna,real_adaptive,Thu Jul 30 18:35:13 NZST 2020,start
5,Ran_2018_dna,quant_06_cached,Thu Jul 30 19:33:37 NZST 2020,finish
3,Ran_2018_dna,real,Fri Jul 31 07:43:48 NZST 2020,finish
3,Ran_2018_dna,quant_06_cached,Fri Jul 31 07:43:48 NZST 2020,start
2,Ran_2018_dna,real_adaptive,Fri Jul 31 07:48:40 NZST 2020,finish
2,Ran_2018_dna,quant_06_cached,Fri Jul 31 07:48:40 NZST 2020,start
1,Ran_2018_dna,real_06,Fri Jul 31 07:58:35 NZST 2020,finish
1,Ran_2018_dna,real_adaptive,Fri Jul 31 07:58:35 NZST 2020,start
4,Ran_2018_dna,quant_cached,Fri Jul 31 11:25:13 NZST 2020,finish
5,Ran_2018_dna,real_adaptive,Fri Jul 31 12:38:16 NZST 2020,start
1,Ran_2018_dna,real_adaptive,Fri Jul 31 21:13:20 NZST 2020,finish
1,Ran_2018_dna,cat,Fri Jul 31 21:13:20 NZST 2020,start
2,Ran_2018_dna,quant_06_cached,Sat Aug  1 00:57:09 NZST 2020,finish
2,Ran_2018_dna,quant_cached,Sat Aug  1 00:57:09 NZST 2020,start
3,Ran_2018_dna,quant_06_cached,Sat Aug  1 01:03:07 NZST 2020,finish
3,Ran_2018_dna,quant_cached,Sat Aug  1 01:03:07 NZST 2020,start
5,Ran_2018_dna,real_adaptive,Sat Aug  1 01:41:43 NZST 2020,finish
5,Ran_2018_dna,cat,Sat Aug  1 01:41:43 NZST 2020,start
4,Ran_2018_dna,real_adaptive,Sat Aug  1 04:29:00 NZST 2020,start
1,Ran_2018_dna,cat,Sat Aug  1 13:06:50 NZST 2020,finish
1,Ran_2018_dna,quant_cached,Sat Aug  1 13:06:50 NZST 2020,start
5,Ran_2018_dna,cat,Sat Aug  1 17:29:28 NZST 2020,finish
5,Ran_2018_dna,quant_cached,Sat Aug  1 17:29:28 NZST 2020,start
4,Ran_2018_dna,real_adaptive,Sat Aug  1 17:44:15 NZST 2020,finish
4,Ran_2018_dna,real,Sat Aug  1 17:44:15 NZST 2020,start
2,Ran_2018_dna,quant_cached,Sat Aug  1 18:12:47 NZST 2020,finish
2,Ran_2018_dna,cat,Sat Aug  1 18:12:47 NZST 2020,start
3,Ran_2018_dna,quant_cached,Sat Aug  1 18:18:29 NZST 2020,finish
3,Ran_2018_dna,real_06,Sat Aug  1 18:18:29 NZST 2020,start
1,Ran_2018_dna,quant_cached,Sun Aug  2 06:20:45 NZST 2020,finish
3,Ran_2018_dna,real_06,Sun Aug  2 07:54:22 NZST 2020,finish
